,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
34,Q14 - None of these,0.7010309278350515,-4.118090564545043,0.01627556192592412,1.155364420575154e-24,4.118090564545043
1,Owns Electric Vehicle,0.7650957290132547,2.3538098115626176,10.52559396349778,4.333242808498751e-75,2.3538098115626176
27,Saving on my energy bill by using my car battery to power my home,0.6693667157584683,1.4270241270459516,4.1662823985780495,3.1445310390889293e-35,1.4270241270459516
36,Safety concerns,0.6023564064801178,-1.2888675686949893,0.27558268491224,2.8256419912983473e-16,1.2888675686949893
45,Q15 - None of these,0.5913107511045655,-1.267181482950989,0.2816242670095789,6.529814233704064e-14,1.267181482950989
5,How Familiar Are You with V2G?,0.7025036818851251,1.1996342874210704,3.318902936212987,1.70703057241486e-54,1.1996342874210704
9,Owns Neither Solar nor Battery,0.6435935198821797,-1.1915776784611785,0.30374167914583017,6.820195663152983e-25,1.1915776784611785
26,Earning money from my car battery by selling electricity to the grid,0.5868924889543446,1.180976728842623,3.2575543968790934,3.031614733617838e-17,1.180976728842623
7,Owns Solar Panels,0.6428571428571429,1.1791099419302806,3.251478909549242,1.2096395891974928e-24,1.1791099419302806
41,Impact on my EV warranty,0.5559646539027983,1.144145801414519,3.1397582340002104,2.5352406093147185e-12,1.144145801414519
8,Owns Home Battery,0.5758468335787923,1.0690066416610695,2.912484921354475,1.6466098125144468e-14,1.0690066416610695
0,Owns Petrol/Diesel Car,0.6134020618556701,-1.0671879853072561,0.3439744198388395,8.654323740712876e-20,1.0671879853072561
30,Supporting the grid during high demand,0.5640648011782032,1.0581255566684067,2.880965717934659,8.563457317884411e-13,1.0581255566684067
28,Helping the environment,0.6200294550810015,1.0446720972473784,2.8424663182937677,3.408435901058844e-20,1.0446720972473784
29,Using more of my solar power,0.5957290132547864,0.9885363268124928,2.68729826597338,3.3024581523493703e-16,0.9885363268124928
39,Impact on my EV battery life and range,0.593519882179676,0.8594576863457423,2.3618794668392065,4.899481709134622e-14,0.8594576863457423
3,Owns Hybrid,0.5522827687776142,-0.8522575763605296,0.4264510984754145,1.938246634780936e-05,0.8522575763605296
44,I donâ€™t want to lose control of how I charge my EV,0.5235640648011782,0.6623419418009396,1.9393288154599815,2.613740224663343e-05,0.6623419418009396
33,Avoiding buying a home battery,0.5235640648011782,0.6306360908414019,1.8788052900895567,0.0002692506633397354,0.6306360908414019
31,Being more independent from the grid,0.5375552282768777,0.5109419181012385,1.6668605018294935,3.225459076624298e-05,0.5109419181012385
24,Carport,0.5419734904270986,-0.4736896188443169,0.6227004970763355,0.00502280401174404,0.4736896188443169
13,EV at home (10am-3pm),0.7253313696612665,0.4558277618972867,1.577478619441939,1.4961151208404278e-53,0.4558277618972867
14,EV at home (4pm-9pm),0.7511045655375552,0.42523554646949024,1.5299507517223028,1.6004273778810455e-67,0.42523554646949024
42,Whether it is actually possible at my home,0.5272459499263623,0.4124442590540186,1.510505342964292,0.0007602365454075711,0.4124442590540186
22,Personal driveway,0.5544918998527246,0.39900551939164713,1.4903418443650291,0.0001547863708530178,0.39900551939164713
15,EV at home (9pm-6am),0.7511045655375552,0.3913523461358209,1.478979534341785,1.0232602915330652e-71,0.3913523461358209
37,Complicated to set up,0.5235640648011782,0.3268233642310591,1.3865565400679765,0.02666793178728491,0.3268233642310591
6,How Many Kilometres Do You Drive Per Year?,0.5787923416789397,0.30157391535660527,1.3519850439015704,9.481561712318907e-06,0.30157391535660527
23,Personal garage,0.5397643593519882,0.269969988268511,1.309925137021831,0.016976248249259605,0.269969988268511
2,Owns Plug-in Hybrid,0.5235640648011782,0.2192864946733602,1.2451879653097897,0.3389728804582567,0.2192864946733602
16,Hybrid at home (10am-3pm),0.5522827687776142,-0.21220204203711185,0.8088012692013078,3.3222033832938006e-05,0.21220204203711185
32,Protecting me against blackout,0.5235640648011782,0.20455694111051204,1.2269813195355939,0.10264946528461846,0.20455694111051204
17,Hybrid at home (4pm-9pm),0.5522827687776142,-0.18494731445131452,0.8311480721908314,1.7816143661570043e-05,0.18494731445131452
25,Street parking,0.5235640648011782,0.17853042518154036,1.1954592547850218,0.11837516238179814,0.17853042518154036
12,Petrol at home (9pm-6am),0.6045655375552282,-0.17166347585890646,0.8422625671683558,5.756922668175656e-18,0.17166347585890646
11,Petrol at home (4pm-9pm),0.5957290132547864,-0.16405538832230254,0.8486950127854366,4.234724575662058e-15,0.16405538832230254
18,Hybrid at home (9pm-6am),0.5522827687776142,-0.1598572985540965,0.8522653997938286,2.9309642729744115e-05,0.1598572985540965
38,Complicated to use,0.5235640648011782,0.15182849506958984,1.1639605943320683,0.3760385274088558,0.15182849506958984
10,Petrol at home (10am-3pm),0.5670103092783505,-0.13217495010262653,0.8761876925428866,7.478206906171407e-09,0.13217495010262653
43,Would require my car to be plugged in for the majority of the time,0.5250368188512519,-0.10073375187366403,0.9041737354040785,0.4575737663247752,0.10073375187366403
20,Plug-in Hybrid at home (4pm-9pm),0.5235640648011782,0.08860124169567511,1.0926448682301588,0.15618596190016332,0.08860124169567511
19,Plug-in Hybrid at home (10am-3pm),0.5235640648011782,0.0884789578300014,1.0925112635608774,0.2672409627507297,0.0884789578300014
40,Not having enough battery when I need to drive,0.5235640648011782,0.08587574250359706,1.089670920112125,0.41323395204204005,0.08587574250359706
21,Plug-in Hybrid at home (9pm-6am),0.5235640648011782,0.06153307283001598,1.063465667766448,0.27813942776910805,0.06153307283001598
35,High cost of car and charger,0.5235640648011782,-0.04732154949612323,0.9537806605866258,0.5636215408203099,0.04732154949612323
4,Does Not Own a Car,0.5235640648011782,0.0,1.0,0.624494896236172,0.0
